"Fertility","PPgdp","LogFertility","LogPPgdp"
6.8,98,1.91692261218206,4.58496747867057
2.28,1317,0.824175442966349,7.18311170174328
2.8,1784,1.02961941718116,7.48661331313996
7.2,739,1.97408102602201,6.6052979209482
2.44,7163,0.89199803930511,8.87668416661445
1.15,687,0.139761942375159,6.53233429222235
1.7,18788,0.53062825106217,9.84097364714689
1.28,23260,0.246860077931526,10.0544904260727
2.1,695,0.741937344729377,6.54391184556479
2.29,14856,0.828551817566148,9.60615910303254
2.66,12012,0.978326122793608,9.39366142910322
3.46,345,1.24126858906963,5.84354441703136
1.5,9255,0.405465108108164,9.1329192250076
1.2,1217,0.182321556793955,7.10414409298753
1.66,22351,0.506817602368452,10.0146263417701
3.15,3123,1.14740245283754,8.04654935728308
5.66,361,1.73342389221509,5.88887795833288
1.67,44579,0.512823626428664,10.7050181751046
5.02,241,1.61342993370364,5.48479693349065
3.82,935,1.34025042261848,6.84054652928869
1.3,1117,0.262364264467491,7.0184017990692
3.7,2872,1.30833281965018,7.96276393016811
2.21,2888,0.792992515529661,7.96831950001272
2.48,12435,0.908258560176891,9.4282703562375
1.1,1622,0.0953101798043249,7.39141523467536
6.68,203,1.89911798754855,5.31320597904179
6.8,107,1.91692261218206,4.67282883446191
4.77,233,1.56234630490025,5.4510384535657
4.61,557,1.52822785700856,6.32256523992728
1.48,22385,0.392042087776024,10.0161463706751
3.3,1259,1.19392246847243,7.13807303404435
4.92,242,1.59330853050422,5.48893772615669
6.65,127,1.89461685466776,4.84418708645859
2.35,3992,0.854415328156068,8.29204763743135
1.83,918,0.60431596685333,6.82219739062049
1,23499,0,10.0647131460353
1.1,14281,0.0953101798043249,9.56668526145293
2.62,1900,0.963174317773006,7.54960916515453
4.9,278,1.58923520511658,5.62762111369064
6.29,779,1.83896107071235,6.65801104587075
3.5,4388,1.25276296849537,8.38662882139512
2.28,4148,0.824175442966349,8.33038156934942
4.73,637,1.55392520250384,6.45676965557216
1.65,4558,0.500775287912489,8.42463920980563
1.55,2545,0.438254930931155,7.84188592898462
1.9,11449,0.641853886172395,9.34565766892381
1.16,5501,0.148420005118273,8.61268517287546
6.7,138,1.90210752639692,4.92725368515721
1.77,30265,0.570979546585738,10.3177472083258
5.7,819,1.7404661748405,6.70808408385307
2.71,2500,0.99694863489161,7.82404601085629
2.76,1425,1.01523067972906,7.26192709270275
3.29,1390,1.19088756477728,7.23705902612474
2.88,2189,1.05779029414785,7.69120009752286
5.89,3940,1.7732559976635,8.27893600229198
5.43,177,1.69193913394584,5.17614973257383
1.22,4010,0.198850858745165,8.29654652030061
6.14,90,1.81482474215905,4.49980967033027
2.88,2046,1.05779029414785,7.62364194651157
1.73,23456,0.548121408509688,10.0628816046864
1.89,21990,0.636576829071551,9.99834308354881
3.33,7737,1.20297230399235,8.95376929454945
2.44,13891,0.89199803930511,9.53899642739739
3.99,3379,1.38379123090177,8.12533508671429
4.7,300,1.54756250871601,5.7037824746562
1.4,601,0.336472236621213,6.39859493453521
1.35,22418,0.300104592450338,10.017619486581
4.11,265,1.41342302850814,5.57972982598622
1.27,10727,0.2390169004705,9.28051920659743
2.1,10323,0.741937344729377,9.24212969446559
4.41,1717,1.48387468945875,7.44833386089748
5.82,375,1.76130026174335,5.92692602597041
7.1,174,1.96009478404727,5.15905529921453
2.31,936,0.837247524533702,6.84161547647759
3.98,431,1.38128181929635,6.06610809010375
3.72,960,1.31372366828506,6.86693328446188
1.2,5209,0.182321556793955,8.55814317774519
1.95,27281,0.667829372575655,10.213945768177
3.01,467,1.10194007876078,6.1463292576689
2.35,678,0.854415328156068,6.5191472879404
2.33,5645,0.845868267577609,8.63852547658376
1.9,26725,0.641853886172395,10.1933547358932
2.7,18816,0.993251773010283,9.84246285069835
1.23,18928,0.207014169384326,9.84839758621817
2.36,2990,0.858661619037519,8.00302866638473
1.32,32540,0.27763173659828,10.390225380773
3.57,1726,1.27256559579155,7.45356187164337
1.95,1441,0.667829372575655,7.27309259599952
4,367,1.38629436111989,5.90536184805457
3.8,468,1.33500106673234,6.14846829591765
1.41,571,0.343589704390077,6.34738920965601
2.02,8955,0.703097511413113,9.09996731449481
2.66,16782,0.978326122793608,9.72806216243001
2.64,306,0.970778917158225,5.72358510195238
4.78,324,1.56444054650336,5.78074351579233
1.1,3212,0.0953101798043249,8.07464907506665
2.18,5087,0.779324876800998,8.53444354482276
3.84,419,1.34547236659964,6.03787091992214
6.8,256,1.91692261218206,5.54517744447956
3.02,5099,1.10525683138678,8.53679972105516
1.64,34504,0.494696241836107,10.4488305383277
1.25,3442,0.22314355131421,8.14380797677148
1.73,43041,0.548121408509688,10.6699084287665
5.7,278,1.7404661748405,5.62762111369064
6.1,129,1.80828877117927,4.85981240436167
2.9,3748,1.06471073699243,8.22897764335831
5.33,1947,1.67335123817775,7.5740450053722
7,200,1.94591014905531,5.29831736654804
1.77,9245,0.570979546585738,9.13183814382123
3.68,1938,1.30291275218084,7.56941179245071
1.9,10723,0.641853886172395,9.28014624622014
5.79,353,1.7561322915849,5.8664680569333
1.95,3787,0.667829372575655,8.2393294279018
2.5,6150,0.916290731874155,8.72420736080056
3.8,2215,1.33500106673234,7.70300768247924
2.42,417,0.883767540168595,6.0330862217988
2.75,1145,1.01160091167848,7.04315991598834
5.63,196,1.7281094421516,5.27811465923052
4.56,1639,1.51732262352629,7.40184157874383
4.26,226,1.44926916028128,5.42053499927229
1.72,23785,0.542324290825362,10.0768104088664
2.05,12149,0.717839793150317,9.40500214085474
2.45,15750,0.896088024556636,9.66459564425378
2.01,13185,0.698134722070984,9.48683509878739
3.75,489,1.32175583998232,6.19236248947487
8,176,2.07944154167984,5.17048399503815
5.42,435,1.69009581545155,6.07534603108868
1.8,36445,0.587786664902119,10.5035595538163
4.96,7421,1.60140574073684,8.91206909797013
5.08,418,1.62531126159039,6.03548143252476
3,6179,1.09861228866811,8.72891172506098
2.7,3391,0.993251773010283,8.12888014212564
4.09,545,1.40854497005471,6.30078579466324
3.84,1286,1.34547236659964,7.15929190479756
2.86,2053,1.05082162483176,7.62705741701893
3.18,924,1.15688119679209,6.82871207164168
1.26,4657,0.231111720963387,8.44612674298238
1.45,10944,0.371563556432483,9.30054663986233
1.89,19083,0.636576829071551,9.85655316534691
3.22,30493,1.16938135955632,10.3252524280577
1.4,346,0.336472236621213,5.84643877505772
2.3,9188,0.832909122935104,9.12565356380899
1.32,1698,0.27763173659828,7.43720636687129
1.14,2139,0.131028262406404,7.66809370908241
5.74,205,1.74745921033147,5.32300997913841
2.41,8426,0.879626747502564,9.03907744253896
2.27,4994,0.819779831493311,8.51599247083972
2.23,2940,0.802001585472027,7.98616486033273
4.12,1402,1.41585316336144,7.24565506759454
3.99,312,1.38379123090177,5.74300318780948
4.53,7724,1.51072193949494,8.9520876435484
4.97,479,1.60341984010854,6.17170059741091
1.65,1008,0.500775287912489,6.91572344863131
2,7850,0.693147180559945,8.96826881077645
6.5,164,1.87180217690159,5.0998664278242
1.36,20755,0.307484699747961,9.94054246048714
1.28,3767,0.246860077931526,8.23403420769204
1.14,9463,0.131028262406404,9.15514473650823
4.42,760,1.48613969608961,6.63331843328038
7.25,110,1.98100146886658,4.70048036579242
2.61,2550,0.959350221334602,7.84384863815247
1.15,14234,0.139761942375159,9.56338874785922
2.01,827,0.698134722070984,6.71780469502369
4.39,376,1.47932922708708,5.92958914338989
2.45,1965,0.896088024556636,7.58324752430336
4.54,1204,1.51292701205326,7.09340462586877
1.64,23680,0.494696241836107,10.0723860889979
1.41,34449,0.343589704390077,10.4472352484443
3.32,4976,1.1999647829284,8.51238163441901
3.06,172,1.11841491596429,5.14749447681345
1.93,1858,0.657520002916794,7.52725591937378
1.9,1723,0.641853886172395,7.45182223652793
3.85,438,1.34807314829969,6.08221891037645
5.33,273,1.67335123817775,5.60947179518496
3.71,1284,1.31103187661934,7.15773548424991
1.55,6817,0.438254930931155,8.82717477136278
2.01,2077,0.698134722070984,7.63867982387611
2.43,2136,0.887891257352457,7.66669020008009
2.7,1263,0.993251773010283,7.14124512235049
7.1,239,1.96009478404727,5.47646355193151
1.15,763,0.139761942375159,6.63725803128446
2.82,19816,1.03673688495002,9.8942449711692
1.6,24186,0.470003629245736,10.0935292323452
5.11,263,1.63119940421561,5.57215403217776
2.11,34788,0.746687947487975,10.4570277787097
2.3,5514,0.832909122935104,8.61504559158374
2.44,418,0.89199803930511,6.03548143252476
4.13,1085,1.41827740697294,6.98933526597456
2.72,5009,1.00063188030791,8.51899157335762
2.3,416,0.832909122935104,6.03068526026126
7.01,431,1.9473377010465,6.06610809010375
5.64,345,1.72988406550997,5.84354441703136
3.9,703,1.3609765531356,6.55535689181067
